 Text, Emotion
Pelayanannya sangat memuaskan banget.,Puas
Proses administrasinya cepat dan mudah seneng banget lochh Gax sihhh.,Senang
Tidak ada yang istimewa dari pelayanannya boringgg.,Biasa Saja
Pelayanannya sangat lambat dan tidak responsif kezell bangtezz.,Kesal
Kualitas layanan menurun drastis.,Kecewa
Pelayanan ramah dan membantu.,Puas
Saya merasa senang dengan pelayanan yang diberikan.,Puas
Pelayanannya biasa saja tidak ada yang istimewa.,Biasa Saja
Proses pendaftaran sangat mudah.,Puas
Sistem administrasinya sangat kacau.,Kesal
Pelayanannya cepat dan efisien.,Senang
Pelayanannya sangat membantu.,Puas
Proses registrasinya mudah dan lancar.,Senang
Tidak ada yang istimewa dari pelayanannya.,Biasa Saja
Pelayanannya sangat lambat dan tidak profesional.,Kesal
Saya sangat kecewa dengan pelayanannya.,Kecewa
Saya merasa sedih dengan pelayanannya.,Sedih
Pelayanannya sangat membantu.,Puas
Proses administrasinya cepat dan mudah.,Senang
Tidak ada yang istimewa dari pelayanannya.,Biasa Saja
Pelayanannya sangat lambat dan tidak profesional.,Kesal
Saya sangat kecewa dengan pelayanannya.,Kecewa
Saya merasa sedih dengan pelayanannya.,Sedih
Pelayanannya sangat membantu.,Puas
Proses administrasinya cepat dan mudah.,Senang
Tidak ada yang istimewa dari pelayanannya.,Biasa Saja
Pelayanannya sangat lambat dan tidak responsif.,Kesal
Kualitas layanan menurun drastis.,Kecewa
Pelayanan ramah dan membantu.,Puas
Saya merasa senang dengan pelayanan yang diberikan.,Puas
Pelayanannya biasa saja tidak ada yang istimewa.,Biasa Saja
Proses pendaftaran sangat mudah.,Puas
Sistem administrasinya sangat kacau.,Kesal
Pelayanannya cepat dan efisien.,Senang
Pelayanannya sangat membantu.,Puas
Proses registrasinya mudah dan lancar.,Senang
Tidak ada yang istimewa dari pelayanannya.,Biasa Saja
Pelayanannya sangat lambat dan tidak profesional.,Kesal
Saya sangat kecewa dengan pelayanannya.,Kecewa
Saya merasa sedih dengan pelayanannya.,Sedih
Pelayanannya sangat membantu.,Puas
Proses administrasinya cepat dan mudah.,Senang
Tidak ada yang istimewa dari pelayanannya.,Biasa Saja
Pelayanannya sangat lambat dan tidak profesional.,Kesal
Saya sangat kecewa dengan pelayanannya.,Kecewa
Saya merasa sedih dengan pelayanannya.,Sedih
Pelayanannya sangat membantu.,Puas
Proses administrasinya cepat dan mudah.,Senang
Tidak ada yang istimewa dari pelayanannya.,Biasa Saja
Pelayanannya sangat lambat dan tidak responsif.,Kesal
Kualitas layanan menurun drastis.,Kecewa
Pelayanan ramah dan membantu.,Puas
